"","countrycode","year","scenario","gdppc","gini","urbanization"
"198","AUS",2060,"SSP3",55915.97664,38.2202673993,95.31
"199","AUS",2060,"SSP4",92494.13276,38.8807754025,95.31
"200","AUS",2060,"SSP5",107897.8123,33.6241433814,95.31
"201","AUS",2065,"SSP1",98500.17613,33.7152394632,95.7
"202","AUS",2065,"SSP2",94118.0797,35.4741755901,95.7
"203","AUS",2065,"SSP3",58178.81134,38.6077524289,95.7
"204","AUS",2065,"SSP4",96460.05068,39.5058106754,95.7
"205","AUS",2065,"SSP5",115013.0821,33.3467047813,95.7
"206","AUS",2070,"SSP1",103095.7329,33.476396115,96.06
"207","AUS",2070,"SSP2",97752.92344,35.5713686246,96.06
"208","AUS",2070,"SSP3",60570.17808,38.9775319422,96.06
"209","AUS",2070,"SSP4",100529.8531,40.1572635465,96.06
"210","AUS",2070,"SSP5",122451.3222,33.1050454753,96.06
"211","AUS",2075,"SSP1",107672.5979,33.2218922704,96.39
"212","AUS",2075,"SSP2",101341.4652,35.6668760636,96.39
"213","AUS",2075,"SSP3",63026.30858,39.3349862152,96.39
"214","AUS",2075,"SSP4",104643.6319,40.8372198923,96.39
"215","AUS",2075,"SSP5",129981.4717,32.8587578365,96.39
"216","AUS",2080,"SSP1",112471.0223,32.95896328,96.69
"217","AUS",2080,"SSP2",104947.9726,35.7638007167,96.69
"218","AUS",2080,"SSP3",65534.36676,39.6969163658,96.69
"219","AUS",2080,"SSP4",108847.8687,41.5343393062,96.69
"220","AUS",2080,"SSP5",137835.4925,32.6006962984,96.69
"221","AUS",2085,"SSP1",117450.9461,32.6919976524,96.97
"222","AUS",2085,"SSP2",108580.3162,35.8890891251,96.97
"223","AUS",2085,"SSP3",68065.5426,40.1062123385,96.97
"224","AUS",2085,"SSP4",113080.9951,42.176490318,96.97
"225","AUS",2085,"SSP5",146058.0401,32.3332797974,96.97
"226","AUS",2090,"SSP1",122770.6112,32.4802885053,97.23
"227","AUS",2090,"SSP2",112409.6154,36.0029770416,97.23
"228","AUS",2090,"SSP3",70679.31004,40.5954434831,97.23
"229","AUS",2090,"SSP4",117493.3747,42.8279088438,97.23
"230","AUS",2090,"SSP5",154862.9101,32.065618085,97.23
"231","AUS",2095,"SSP1",128236.1693,32.2965748148,97.46
"232","AUS",2095,"SSP2",116394.3422,36.1241333539,97.46
"233","AUS",2095,"SSP3",73393.7321,41.1166165908,97.46
"234","AUS",2095,"SSP4",122036.3903,43.4903681663,97.46
"235","AUS",2095,"SSP5",164112.4138,31.7934343615,97.46
"236","AUS",2100,"SSP1",133741.6479,32.1158382631,97.68
"237","AUS",2100,"SSP2",120405.6602,36.2168794831,97.68
"238","AUS",2100,"SSP3",76266.21058,41.6588450643,97.68
"239","AUS",2100,"SSP4",126599.9411,44.1648914429,97.68
"240","AUS",2100,"SSP5",173688.7554,31.514281139,97.68
"241","AUT",2025,"SSP1",40310.48292,27.477064,76.24
"242","AUT",2025,"SSP2",40293.82344,28.025764,72.49
"243","AUT",2025,"SSP3",37855.78676,28.71332,69.23
"244","AUT",2025,"SSP4",40851.50815,28.848803,72.49
"245","AUT",2025,"SSP5",40832.89448,27.433308,76.24
"246","AUT",2030,"SSP1",41805.87241,27.515633,78.54
"247","AUT",2030,"SSP2",41587.22611,28.408085,73.99
"248","AUT",2030,"SSP3",38226.63958,29.473246,69.53
"249","AUT",2030,"SSP4",42231.16149,29.749903,73.99
"250","AUT",2030,"SSP5",43140.07667,27.456308,78.54
"251","AUT",2035,"SSP1",43825.22865,27.395164,80.59
"252","AUT",2035,"SSP2",43314.80977,28.703663,75.41
"253","AUT",2035,"SSP3",39119.17117,30.213396,69.76
"254","AUT",2035,"SSP4",43903.53541,30.686821,75.41
"255","AUT",2035,"SSP5",46360.96789,27.303688,80.59
"256","AUT",2040,"SSP1",46309.74586,27.104109,82.42
"257","AUT",2040,"SSP2",45437.50748,28.930923,76.76
"258","AUT",2040,"SSP3",40513.94582,30.957249,69.92
"259","AUT",2040,"SSP4",45928.90967,31.627407,76.76
"260","AUT",2040,"SSP5",50357.66077,26.916622,82.42
"261","AUT",2045,"SSP1",49127.09107,26.648037,84.05
"262","AUT",2045,"SSP2",47834.08686,29.099321,78.04
"263","AUT",2045,"SSP3",42296.52455,31.712721,70.05
"264","AUT",2045,"SSP4",48274.74597,32.567028,78.04
"265","AUT",2045,"SSP5",54943.65808,26.28335,84.05
"266","AUT",2050,"SSP1",52199.72925,26.041508,85.52
"267","AUT",2050,"SSP2",50445.21319,29.214041,79.26
"268","AUT",2050,"SSP3",44398.96506,32.486595,70.15
"269","AUT",2050,"SSP4",50932.07669,33.518574,79.26
"270","AUT",2050,"SSP5",59989.27905,25.404953,85.52
"271","AUT",2055,"SSP1",55500.63892,25.595024,86.83
"272","AUT",2055,"SSP2",53229.13573,29.285517,80.41
"273","AUT",2055,"SSP3",46749.21741,33.280308,70.22
"274","AUT",2055,"SSP4",53849.82054,34.489677,80.41
"275","AUT",2055,"SSP5",65488.87672,24.763266,86.83
"276","AUT",2060,"SSP1",59046.18156,25.097748,88
"277","AUT",2060,"SSP2",56173.93883,29.314075,81.5
"278","AUT",2060,"SSP3",49285.51359,34.088123,70.27
"279","AUT",2060,"SSP4",56972.24267,35.480877,81.5
"280","AUT",2060,"SSP5",71515.00574,24.041862,88
"281","AUT",2065,"SSP1",62939.25908,24.551302,89.06
"282","AUT",2065,"SSP2",59314.46961,29.307625,82.53
"283","AUT",2065,"SSP3",51980.0646,34.908852,70.32
"284","AUT",2065,"SSP4",60292.44744,36.496471,82.53
"285","AUT",2065,"SSP5",78289.55192,23.24436,89.06
"286","AUT",2070,"SSP1",67123.18322,23.950748,90.02
"287","AUT",2070,"SSP2",62572.69094,29.270035,83.51
"288","AUT",2070,"SSP3",54819.24585,35.744431,70.35
"289","AUT",2070,"SSP4",63741.57616,37.541519,83.51
"290","AUT",2070,"SSP5",85712.8647,22.35203,90.02
"291","AUT",2075,"SSP1",71414.41371,23.308176,90.88
"292","AUT",2075,"SSP2",65914.55703,29.206758,84.43
"293","AUT",2075,"SSP3",57819.49995,36.593689,70.37
"294","AUT",2075,"SSP4",67293.05658,38.617496,84.43
"295","AUT",2075,"SSP5",93535.01295,21.369171,90.88
"296","AUT",2080,"SSP1",75821.34962,22.641579,91.66
