"","countrycode","year","gdppc","scenario"
"11138","SVN",1974,NA,"Observed"
"11139","SVN",1975,NA,"Observed"
"11140","SVN",1976,NA,"Observed"
"11141","SVN",1977,NA,"Observed"
"11142","SVN",1978,NA,"Observed"
"11143","SVN",1979,NA,"Observed"
"11144","SVN",1980,NA,"Observed"
"11145","SVN",1981,NA,"Observed"
"11146","SVN",1982,NA,"Observed"
"11147","SVN",1983,NA,"Observed"
"11148","SVN",1984,NA,"Observed"
"11149","SVN",1985,NA,"Observed"
"11150","SVN",1986,NA,"Observed"
"11151","SVN",1987,NA,"Observed"
"11152","SVN",1988,NA,"Observed"
"11153","SVN",1989,NA,"Observed"
"11154","SVN",1990,15492.40565,"Observed"
"11155","SVN",1991,13912.5286,"Observed"
"11156","SVN",1992,13087.36931,"Observed"
"11157","SVN",1993,13799.41199,"Observed"
"11158","SVN",1994,14588.51333,"Observed"
"11159","SVN",1995,15433.31923,"Observed"
"11160","SVN",1996,15960.47872,"Observed"
"11161","SVN",1997,16734.96181,"Observed"
"11162","SVN",1998,17372.42524,"Observed"
"11163","SVN",1999,18371.8293,"Observed"
"11164","SVN",2000,19102.39931,"Observed"
"11165","SVN",2001,19648.7565,"Observed"
"11166","SVN",2002,20367.27584,"Observed"
"11167","SVN",2003,20989.4013,"Observed"
"11168","SVN",2004,21971.27334,"Observed"
"11169","SVN",2005,23273.83834,"Observed"
"11170","SVN",2006,24719.42519,"Observed"
"11171","SVN",2007,26593.09436,"Observed"
"11172","SVN",2008,27599.8508,"Observed"
"11173","SVN",2009,24955.71269,"Observed"
"11174","SVN",2010,24956.75984,"Observed"
"11175","SVN",2011,25011.323778,"Observed"
"11176","SVN",2012,25065.887716,"Observed"
"11177","SVN",2013,25120.451654,"Observed"
"11178","SVN",2014,25175.015592,"Observed"
"11179","SVN",2015,25229.57953,"Observed"
"11180","SVN",2016,25284.143468,"Observed"
"11181","SVN",2017,25338.707406,"Observed"
"11182","SVN",2018,25393.271344,"Observed"
"11183","SVN",2019,25447.835282,"Observed"
"11184","SVN",2020,25502.39922,"Observed"
"11185","SWE",1950,10300.69667,"Observed"
"11186","SWE",1951,10433.4363,"Observed"
"11187","SWE",1952,10654.02454,"Observed"
"11188","SWE",1953,11024.72584,"Observed"
"11189","SWE",1954,11528.3111,"Observed"
"11190","SWE",1955,11751.15368,"Observed"
"11191","SWE",1956,12043.43357,"Observed"
"11192","SWE",1957,12206.51607,"Observed"
"11193","SWE",1958,12497.52578,"Observed"
"11194","SWE",1959,13058.64758,"Observed"
"11195","SWE",1960,13312.99346,"Observed"
"11196","SWE",1961,13957.28833,"Observed"
"11197","SWE",1962,14477.29853,"Observed"
"11198","SWE",1963,15203.96416,"Observed"
"11199","SWE",1964,15941.12751,"Observed"
"11200","SWE",1965,16380.49705,"Observed"
"11201","SWE",1966,16617.78421,"Observed"
"11202","SWE",1967,17042.68795,"Observed"
"11203","SWE",1968,17576.36594,"Observed"
"11204","SWE",1969,18235.17942,"Observed"
"11205","SWE",1970,19101.39678,"Observed"
"11206","SWE",1971,19092.65068,"Observed"
"11207","SWE",1972,19466.80097,"Observed"
"11208","SWE",1973,20090.21021,"Observed"
"11209","SWE",1974,20698.04617,"Observed"
"11210","SWE",1975,21268.32356,"Observed"
"11211","SWE",1976,21519.24201,"Observed"
"11212","SWE",1977,21132.53514,"Observed"
"11213","SWE",1978,21305.71754,"Observed"
"11214","SWE",1979,22102.93442,"Observed"
"11215","SWE",1980,22391.58132,"Observed"
"11216","SWE",1981,22330.83847,"Observed"
"11217","SWE",1982,22540.365,"Observed"
"11218","SWE",1983,22757.0529,"Observed"
"11219","SWE",1984,23570.16528,"Observed"
"11220","SWE",1985,24095.41329,"Observed"
"11221","SWE",1986,24715.37072,"Observed"
"11222","SWE",1987,25462.50185,"Observed"
"11223","SWE",1988,25959.68705,"Observed"
"11224","SWE",1989,26500.09004,"Observed"
"11225","SWE",1990,26521.33252,"Observed"
"11226","SWE",1991,26149.48266,"Observed"
"11227","SWE",1992,25722.91325,"Observed"
"11228","SWE",1993,25086.44431,"Observed"
"11229","SWE",1994,25754.08824,"Observed"
"11230","SWE",1995,26508.51464,"Observed"
"11231","SWE",1996,26808.96028,"Observed"
"11232","SWE",1997,27299.46035,"Observed"
"11233","SWE",1998,28272.99989,"Observed"
