"","countrycode","sptemp","cdd","cddeq","clim.max"
"103","MRT","18",3732,3732,0.999116117550964
"104","MUS","18",1798,1798,0.967110653241242
"105","MWI","18",1456,1456,0.937654668188966
"106","MYS","18",2686,2686,0.993749954156947
"107","NAM","18",1362,1362,0.925673407218566
"108","NER","18",3719,3719,0.999094367062599
"109","NGA","18",3087,3087,0.997047303565056
"110","NIC","18",2430,2430,0.989912381319725
"111","NLD","18",61,61,0.153306470489108
"112","NOR","18",14,14,0.0755224209029698
"113","NPL","18",1442,1442,0.936000914217454
"114","NZL","18",59,59,0.150133907694355
"115","OMN","18",2536,2536,0.991726242171714
"116","PAK","18",2436,2436,0.990024931812323
"117","PAN","18",2499,2499,0.991133511804322
"118","PER","18",971,971,0.845585769682897
"119","PHL","18",2715,2715,0.994079867688214
"120","PNG","18",2092,2092,0.981020322554233
"121","POL","18",96,96,0.20694799575364
"122","PRI","18",2233,2233,0.985419299092964
"123","PRT","18",346,346,0.503099999999179
"124","PRY","18",1659,1659,0.957347802416115
"125","PSE","18",959,959,0.842081543988175
"126","QAT","18",3226,3226,0.997723159358173
"127","ROU","18",209,209,0.35800610223238
"128","RUS","18",170,170,0.309435900837338
"129","RWA","18",337,337,0.494666403349667
"130","SAU","18",2584,2584,0.992436539688683
"131","SDN","18",3683,3683,0.999031300861019
"132","SEN","18",3053,3053,0.99685347459309
"133","SLB","18",2647,2647,0.993277105448601
"134","SLE","18",2926,2926,0.996010009704833
"135","SLV","18",2258,2258,0.986085258766054
"136","SRB","18",216,216,0.366355039346544
"137","SSD","18",3577,3577,0.998818932372357
"138","SUR","18",3138,3138,0.997315891082411
"139","SVK","18",99,99,0.211384561295454
"140","SVN","18",114,114,0.233197862589226
"141","SWE","18",23,23,0.0909511813600269
"142","SWZ","18",996,996,0.852638493073767
"143","TCD","18",3424,3424,0.998427716850067
"144","TGO","18",3244,3244,0.997798522339836
"145","THA","18",3116,3116,0.997203163943056
"146","TJK","18",603,603,0.692707888451546
"147","TKM","18",1207,1207,0.900682797013438
"148","TLS","18",2459,2459,0.990444864118165
"149","TTO","18",2949,2949,0.996177981070383
"150","TUN","18",1116,1116,0.882258823181663
"151","TUR","18",403,403,0.553339499821991
"152","TZA","18",1469,1469,0.939152009283942
"153","UGA","18",1475,1475,0.939830907995895
"154","UKR","18",212,212,0.361597604415894
"155","URY","18",570,570,0.673147565431977
"156","USA","18",710,710,0.748433140133275
"157","UZB","18",906,906,0.825628374815111
"158","VCT","18",3307,3307,0.998043183733721
"159","VNM","18",2641,2641,0.99320124981742
"160","VUT","18",2036,2036,0.978924972713716
"161","WSM","18",3205,3205,0.997631969022597
"162","YEM","18",1286,1286,0.914322624126548
"163","ZAF","18",678,678,0.732919850536579
"164","ZMB","18",1333,1333,0.9215313800813
"165","ZWE","18",1106,1106,0.8800363477947
"166","AFG","20",461,739.075988548384,0.761746150446875
"167","AGO","20",806,1222.15406881292,0.903457754482697
"168","ALB","20",179,317.940080397648,0.47633045385061
"169","ARE","20",2344,3036.10965915901,0.996752505629796
"170","ARG","20",477,761.629917186313,0.77158575294815
"171","ARM","20",84,162.418698880528,0.29957602399297
"172","AUS","20",348,577.074407170546,0.67744306696394
"173","AUT","20",54,112.461897697317,0.230989172088248
"174","AZE","20",401,653.815262826352,0.720563728647534
"175","BDI","20",458,734.840752970665,0.759851714077968
"176","BEL","20",38,85.7476989211084,0.1915970767411
