scenaio;countrycode;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
SSP1;HND;51.60;56.07;60.27;64.18;67.78;71.07;74.06;76.75;79.18;81.36;83.31;85.06;86.62;88.02;89.27;90.39;91.39;92.28;93.08
SSP1;HUN;68.10;70.34;72.58;74.77;76.92;78.99;80.98;82.87;84.64;86.30;87.84;89.25;90.54;91.70;92.75;93.68;94.51;95.24;95.88
SSP1;IND;30.01;34.67;39.52;44.44;49.34;54.10;58.66;62.95;66.94;70.60;73.94;76.94;79.65;82.06;84.20;86.11;87.79;89.28;90.59
SSP1;IDN;44.28;49.29;54.01;58.39;62.39;66.01;69.27;72.19;74.80;77.13;79.21;81.08;82.75;84.24;85.59;86.80;87.89;88.88;89.77
SSP1;IRN;70.75;75.65;79.28;82.05;84.21;85.93;87.34;88.50;89.47;90.30;91.02;91.64;92.18;92.66;93.08;93.46;93.81;94.12;94.40
SSP1;IRQ;66.17;69.86;73.07;75.85;78.28;80.40;82.25;83.88;85.32;86.60;87.73;88.75;89.65;90.47;91.21;91.87;92.48;93.03;93.53
SSP1;IRL;61.94;66.12;69.78;72.98;75.76;78.19;80.31;82.17;83.81;85.26;86.55;87.69;88.72;89.64;90.46;91.21;91.88;92.49;93.05
SSP1;ISR;91.85;92.02;92.19;92.35;92.51;92.66;92.81;92.96;93.11;93.25;93.39;93.53;93.67;93.80;93.93;94.06;94.18;94.31;94.43
SSP1;ITA;68.36;71.55;74.40;76.93;79.19;81.19;82.97;84.56;85.99;87.26;88.40;89.43;90.35;91.18;91.93;92.62;93.23;93.79;94.30
SSP1;JAM;52.01;56.44;60.61;64.50;68.09;71.36;74.34;77.03;79.45;81.63;83.58;85.32;86.88;88.27;89.52;90.63;91.62;92.51;93.30
SSP1;JPN;66.83;70.39;73.49;76.19;78.54;80.60;82.41;84.00;85.41;86.66;87.78;88.77;89.67;90.47;91.20;91.86;92.46;93.00;93.50
SSP1;JOR;78.53;82.38;85.46;87.93;89.93;91.56;92.90;94.01;94.93;95.70;96.34;96.89;97.34;97.73;98.06;98.34;98.58;98.78;98.96
SSP1;KAZ;58.51;62.46;66.26;69.86;73.24;76.37;79.24;81.85;84.20;86.30;88.16;89.79;91.23;92.48;93.57;94.50;95.31;96.01;96.60
SSP1;KEN;22.18;26.52;31.17;36.02;40.92;45.76;50.44;54.87;59.00;62.81;66.29;69.45;72.31;74.89;77.20;79.29;81.17;82.85;84.37
SSP1;KGZ;34.55;39.40;44.24;48.96;53.47;57.70;61.63;65.24;68.54;71.52;74.22;76.65;78.84;80.81;82.58;84.17;85.61;86.90;88.07
SSP1;LAO;33.18;40.44;47.57;54.25;60.29;65.61;70.22;74.18;77.56;80.46;82.93;85.05;86.88;88.45;89.81;91.00;92.03;92.93;93.72
SSP1;LVA;67.72;71.05;73.99;76.59;78.88;80.90;82.69;84.28;85.69;86.95;88.08;89.09;90.01;90.83;91.57;92.24;92.85;93.41;93.92
SSP1;LBN;87.24;88.26;89.10;89.80;90.40;90.91;91.36;91.75;92.09;92.39;92.66;92.91;93.13;93.32;93.50;93.67;93.82;93.96;94.08
SSP1;LSO;26.88;32.84;39.12;45.45;51.61;57.41;62.74;67.53;71.78;75.51;78.77;81.60;84.05;86.16;87.99;89.58;90.94;92.13;93.15
SSP1;LBR;47.82;52.68;57.31;61.65;65.65;69.32;72.64;75.63;78.31;80.71;82.84;84.74;86.43;87.94;89.27;90.45;91.50;92.44;93.27
SSP1;LBY;77.89;81.69;84.78;87.31;89.39;91.09;92.51;93.68;94.66;95.48;96.17;96.75;97.24;97.65;98.00;98.30;98.55;98.76;98.94
SSP1;LTU;66.98;70.41;73.40;76.01;78.31;80.32;82.09;83.66;85.05;86.29;87.40;88.39;89.28;90.09;90.82;91.48;92.09;92.64;93.14
SSP1;MDG;30.19;34.82;39.64;44.55;49.43;54.19;58.75;63.06;67.06;70.74;74.09;77.12;79.84;82.27;84.43;86.34;88.03;89.51;90.82
SSP1;MWI;19.77;23.42;27.45;31.83;36.48;41.31;46.23;51.14;55.93;60.53;64.87;68.91;72.63;76.00;79.04;81.75;84.16;86.28;88.14
SSP1;MYS;72.17;76.42;79.62;82.10;84.07;85.65;86.95;88.04;88.96;89.75;90.43;91.02;91.54;92.00;92.41;92.78;93.12;93.42;93.69
SSP1;MLI;35.86;42.07;48.18;54.00;59.39;64.28;68.64;72.50;75.89;78.85;81.43;83.68;85.64;87.35;88.85;90.16;91.30;92.31;93.19
SSP1;MRT;41.43;46.40;51.17;55.65;59.80;63.60;67.05;70.17;72.97;75.49;77.74;79.76;81.58;83.21;84.67;85.99;87.18;88.26;89.23
SSP1;MUS;41.84;46.81;51.61;56.14;60.35;64.22;67.74;70.93;73.81;76.38;78.70;80.77;82.62;84.28;85.77;87.11;88.31;89.39;90.36
SSP1;MEX;77.83;81.63;84.72;87.25;89.32;91.03;92.45;93.63;94.61;95.43;96.12;96.70;97.19;97.61;97.96;98.26;98.52;98.73;98.92
SSP1;MNG;62.03;66.23;69.89;73.07;75.82;78.22;80.31;82.14;83.74;85.16;86.42;87.54;88.54;89.43;90.24;90.97;91.63;92.23;92.78
SSP1;MAR;58.24;61.98;65.69;69.33;72.84;76.17;79.28;82.14;84.74;87.05;89.09;90.87;92.39;93.70;94.80;95.72;96.49;97.13;97.65
SSP1;MOZ;38.43;44.47;50.23;55.56;60.38;64.68;68.48;71.82;74.75;77.32;79.57;81.55;83.30;84.84;86.21;87.43;88.52;89.50;90.38
SSP1;MMR;33.65;38.70;43.75;48.66;53.34;57.72;61.75;65.44;68.78;71.80;74.50;76.93;79.11;81.06;82.81;84.37;85.78;87.05;88.19
SSP1;NAM;37.98;42.87;47.69;52.34;56.73;60.84;64.63;68.09;71.24;74.08;76.65;78.95;81.02;82.88;84.54;86.04;87.38;88.59;89.67
SSP1;NPL;18.62;22.41;26.63;31.23;36.10;41.14;46.23;51.26;56.12;60.73;65.04;69.01;72.63;75.90;78.83;81.44;83.75;85.79;87.59
SSP1;NLD;82.86;84.22;85.52;86.75;87.91;89.00;90.02;90.97;91.84;92.65;93.39;94.06;94.68;95.24;95.75;96.20;96.62;96.99;97.32
SSP1;NZL;86.20;87.36;88.36;89.21;89.95;90.60;91.17;91.68;92.13;92.54;92.91;93.24;93.54;93.82;94.08;94.32;94.53;94.74;94.92
SSP1;NIC;57.32;61.16;64.85;68.35;71.64;74.70;77.53;80.11;82.45;84.56;86.46;88.15;89.65;90.97;92.14;93.17;94.07;94.86;95.55
SSP1;NER;17.11;20.38;24.02;28.01;32.27;36.74;41.34;45.95;50.51;54.94;59.17;63.16;66.87;70.30;73.44;76.30;78.88;81.21;83.30
SSP1;NGA;49.80;54.27;58.53;62.56;66.31;69.78;72.95;75.84;78.45;80.81;82.92;84.82;86.51;88.02;89.36;90.55;91.62;92.56;93.40
SSP1;NOR;79.41;82.48;85.30;87.83;90.05;91.96;93.56;94.89;95.97;96.84;97.53;98.08;98.51;98.85;99.11;99.32;99.47;99.59;99.69
SSP1;PSE;74.14;78.30;81.37;83.72;85.55;87.02;88.22;89.21;90.05;90.77;91.38;91.92;92.39;92.81;93.18;93.51;93.81;94.08;94.33
SSP1;OMN;73.04;77.05;80.09;82.45;84.33;85.84;87.10;88.14;89.03;89.79;90.45;91.03;91.53;91.98;92.38;92.74;93.07;93.36;93.63
SSP1;PAK;35.90;40.63;45.39;50.07;54.60;58.90;62.94;66.68;70.12;73.25;76.09;78.65;80.95;83.02;84.86;86.51;87.98;89.29;90.46
SSP1;PAN;74.80;78.99;82.06;84.39;86.19;87.63;88.81;89.78;90.59;91.29;91.89;92.41;92.86;93.27;93.62;93.95;94.23;94.50;94.73
SSP1;PNG;12.53;15.40;18.76;22.61;26.91;31.62;36.64;41.87;47.17;52.42;57.50;62.33;66.83;70.96;74.71;78.07;81.04;83.67;85.96
SSP1;PRY;61.50;65.35;68.97;72.33;75.42;78.25;80.80;83.10;85.16;86.99;88.62;90.06;91.33;92.44;93.42;94.28;95.03;95.68;96.25
SSP1;PER;76.92;80.89;83.78;85.96;87.66;89.02;90.12;91.03;91.80;92.45;93.02;93.51;93.94;94.32;94.66;94.96;95.24;95.48;95.71
SSP1;PHL;48.90;53.28;57.51;61.56;65.37;68.93;72.23;75.24;77.99;80.47;82.71;84.71;86.50;88.10;89.52;90.77;91.88;92.87;93.73
SSP1;POL;60.96;64.67;68.21;71.55;74.67;77.54;80.18;82.57;84.73;86.66;88.38;89.91;91.25;92.43;93.46;94.36;95.14;95.82;96.41
SSP1;PRT;60.70;64.36;67.90;71.27;74.44;77.40;80.13;82.62;84.87;86.88;88.67;90.25;91.64;92.84;93.89;94.80;95.58;96.24;96.82
SSP1;QAT;95.83;96.20;96.55;96.86;97.14;97.40;97.64;97.85;98.05;98.23;98.39;98.54;98.67;98.80;98.91;99.01;99.10;99.18;99.26
