regnum,ISO,NAME,tslice,rcp,ssp,year,stat,data,value
53,EST,Estonia,future,rcp26,SSP1,2020,PopWeightAv,CDD,5
54,ETH,Ethiopia,future,rcp26,SSP1,2020,mean,CDD,655
54,ETH,Ethiopia,future,rcp26,SSP1,2020,PopWeightAv,CDD,239
55,FIN,Finland,future,rcp26,SSP1,2020,mean,CDD,1
55,FIN,Finland,future,rcp26,SSP1,2020,PopWeightAv,CDD,1
56,FJI,Fiji,future,rcp26,SSP1,2020,mean,CDD,391
56,FJI,Fiji,future,rcp26,SSP1,2020,PopWeightAv,CDD,297
57,FRA,France,future,rcp26,SSP1,2020,mean,CDD,38
57,FRA,France,future,rcp26,SSP1,2020,PopWeightAv,CDD,44
58,GAB,Gabon,future,rcp26,SSP1,2020,mean,CDD,817
58,GAB,Gabon,future,rcp26,SSP1,2020,PopWeightAv,CDD,945
59,GBR,United Kingdom,future,rcp26,SSP1,2020,mean,CDD,0
59,GBR,United Kingdom,future,rcp26,SSP1,2020,PopWeightAv,CDD,1
60,GEO,Georgia,future,rcp26,SSP1,2020,mean,CDD,39
60,GEO,Georgia,future,rcp26,SSP1,2020,PopWeightAv,CDD,58
61,GHA,Ghana,future,rcp26,SSP1,2020,mean,CDD,1662
61,GHA,Ghana,future,rcp26,SSP1,2020,PopWeightAv,CDD,1579
62,GIN,Guinea,future,rcp26,SSP1,2020,mean,CDD,1085
62,GIN,Guinea,future,rcp26,SSP1,2020,PopWeightAv,CDD,987
63,GMB,Gambia,future,rcp26,SSP1,2020,mean,CDD,1590
63,GMB,Gambia,future,rcp26,SSP1,2020,PopWeightAv,CDD,1466
64,GNB,Guinea-Bissau,future,rcp26,SSP1,2020,mean,CDD,1392
64,GNB,Guinea-Bissau,future,rcp26,SSP1,2020,PopWeightAv,CDD,1409
65,GNQ,Equatorial Guinea,future,rcp26,SSP1,2020,mean,CDD,479
65,GNQ,Equatorial Guinea,future,rcp26,SSP1,2020,PopWeightAv,CDD,463
66,GRC,Greece,future,rcp26,SSP1,2020,mean,CDD,166
66,GRC,Greece,future,rcp26,SSP1,2020,PopWeightAv,CDD,210
67,GTM,Guatemala,future,rcp26,SSP1,2020,mean,CDD,778
67,GTM,Guatemala,future,rcp26,SSP1,2020,PopWeightAv,CDD,355
68,GUY,Guyana,future,rcp26,SSP1,2020,mean,CDD,1183
68,GUY,Guyana,future,rcp26,SSP1,2020,PopWeightAv,CDD,1357
69,HKG,"China, Hong Kong SAR",future,rcp26,SSP1,2020,mean,CDD,857
69,HKG,"China, Hong Kong SAR",future,rcp26,SSP1,2020,PopWeightAv,CDD,857
70,HND,Honduras,future,rcp26,SSP1,2020,mean,CDD,640
70,HND,Honduras,future,rcp26,SSP1,2020,PopWeightAv,CDD,470
71,HRV,Croatia,future,rcp26,SSP1,2020,mean,CDD,94
71,HRV,Croatia,future,rcp26,SSP1,2020,PopWeightAv,CDD,105
72,HTI,Haiti,future,rcp26,SSP1,2020,mean,CDD,711
72,HTI,Haiti,future,rcp26,SSP1,2020,PopWeightAv,CDD,738
73,HUN,Hungary,future,rcp26,SSP1,2020,mean,CDD,95
73,HUN,Hungary,future,rcp26,SSP1,2020,PopWeightAv,CDD,90
74,IDN,Indonesia,future,rcp26,SSP1,2020,mean,CDD,1075
74,IDN,Indonesia,future,rcp26,SSP1,2020,PopWeightAv,CDD,1232
